date,grid,plot,zone,side,fixed_area,height,num_stems,stem_1_diam,stem_2_diam,stem_3_diam,stem_4_diam,stem_5_diam,canopy_breakage,breakage_age,breakage_resprout,circum,add_circum,bark_stripped,strip_age,bark_regrow,borer,fire,toppled,toppled_resprout,elephant_damage,alive,notes,data_collector,scribe,total_basal_area,season,location,tag,spcode
23-May-2013,1,1,5,A,2-10,610,3,16.4,14.1,7.5,NA,NA,7,O,N,40,40,12,O,20,0,0,N,N,Y,Y,NA,Julia & Audrey,Julia,879.9993722,mj13,K,NA,PHVI
23-May-2013,1,1,1,A,<2,80,1,0.929,NA,NA,NA,NA,50,O,NA,0,0,0,NA,0,0,0,N,NA,NA,Y,NA,Karen and Vellie,Peter,0.677830816,mj13,K,NA,ACTO
23-May-2013,1,1,2,A,10-25,1200,1,50.9,NA,NA,NA,NA,23,O,N,1,1,1,N,0,0,0,N,N,NA,Y,NA,Peter & Karen,Julia,2034.817416,mj13,K,NA,SCBI
23-May-2013,1,1,2,A,10-25,900,2,12.2,13.8,NA,NA,NA,5,O,N,0,0,0,NA,0,0,0,N,N,NA,Y,NA,Peter & Karen,Julia,715.1835676,mj13,K,NA,ACNI
23-May-2013,1,1,5,A,10-25,670,1,19,NA,NA,NA,NA,2,O,N,0,0,0,NA,0,0,0,N,N,NA,Y,NA,Peter & Karen,Julia,283.528737,mj13,K,NA,ACNI
23-May-2013,1,1,5,A,10-25,510,1,18.7,NA,NA,NA,NA,0,NA,NA,0,0,0,NA,0,0,0,N,N,N,Y,NA,Peter & Karen,Julia,274.6458838,mj13,K,NA,ACNI
23-May-2013,1,1,2,B,2-10,825,2,13.4,10.7,NA,NA,NA,5,N,N,8,8,1,N,0,0,0,N,N,Y,Y,stripping unknow; breaking elephants,Dax & Jenna,Cori,500.7070371,mj13,K,NA,ACNI
23-May-2013,1,1,2,B,2-10,750,1,16.6,NA,NA,NA,NA,1,O,N,0,0,0,NA,0,0,0,N,N,NA,Y,NA,Dax & Jenna,Cori,216.4243179,mj13,K,NA,ACNI
23-May-2013,1,1,1,A,<2,190,1,3.05,NA,NA,NA,NA,0,NA,NA,0,0,0,NA,0,0,0,N,NA,NA,Y,NA,Karen and Vellie,Peter,7.306166415,mj13,K,NA,ACTO
23-May-2013,1,1,1,A,<2,55,1,0.774,NA,NA,NA,NA,0,NA,NA,0,0,0,NA,0,0,0,N,NA,NA,Y,NA,Karen and Vellie,Peter,0.47051319,mj13,K,NA,DAME
23-May-2013,1,1,1,A,<2,40,1,0.316,NA,NA,NA,NA,0,NA,NA,0,0,0,NA,0,0,0,N,NA,NA,Y,NA,Karen and Vellie,Peter,0.078426719,mj13,K,NA,EHRI
