spcode,genus,species
PHVI,Philenoptera,violacea
ACTO,Acacia,tortilis 
SCBI,Sclerocarya,birrea
ACNI,Acacia,nigrescens
DAME,Dalbergia,melanoxylon
EHRI,Ehretia,rigida
DICI,Dichrostachys,cinerea
ORTR,Ormocarpum,trichocarpum
GYSE,Gymnosporia,senegalensis
FLVI,Flueggea,virosa
RHGU,Rhus,gueinzii
ALFO,Albizia,forbesii
COIM,Combretum,imberbe
LASC,Lannea,schweinfurthii
COAP,Combretum,apiculatum
BOSP,Bolusanthus,speciosus
ACGE,Acacia,gerrardii
CICO,Cissus,cornifolia
GRBI,Grewia,bicolor
INAR,Indigofera,arrecta
COHE,Combretum,hereroense
COAF,Commiphora,africana
TEPH,Terminalia,phanerophlebia
ZIMU,Ziziphus,mucronata
GRVI,Grewia,villosa
PYHY,Pyrostria,hystrix
EUDI,Euclea,divinorum
GYGL,Gymnosporia,glaucophyllum
GRFL,Grewia,flava
DIME,Diospyros,mespiliformis
GRMO,Grewia,monticola
ALHA,Albizia,harveyi
NANA,NA,NA
PHVI,Phylonoptera,violaceae
ACGR,Acacia,grandicornuta
SCBI,Sclerocarrya,birrea
PHVI,Philenoptera,violaceae
BOSP,Bolusanthantus,speciosa
EHRI,Ehrethia,rigidia
BOFO,Boscia,foetida
COSC,Commiphora,schimperi
XIAM,Ximemia,americana
SENI,Senegalia,nigrescens
VAGE,Vachellia,gerrardii
ACNI,Acacia,nilotica
EHRI,Ehrethia,rigida 
ZIZE,Ziziphus,zeyheriana
EHAM,Ehretia,amoena
GRVI,Grewia,villosa 
VAEX,Vachellia,exuvalias
