ref,,,Date,Grid,Plot,Site code,Site,Section code,species (correctly spelled!),Height (cm),# stems,stem 1 diameter (cm),stem 2 diameter (cm),stem 3 diameter (cm),stem 4 diameter (cm),stem 5 diameter (cm),%break,age (N/O/N/A),sprout (Y/ N),% circum,% Additive,% < 3m,age (n/o/N/A),% regro,% borer, % fire,topple (y/n),resprout #,ele? (y/n/N/A),alive (y/n),Notes,Data Collector,Data Enterer,total basal area,total biomass
1,,,23-May-2013,1,1,1_1,Dense 1,5A10,Philenoptera violacea,610,3,16.4,14.1,7.5,0,0,7,O,N,40,40,12,O,20,0,0,N,N,Y,Y,,Julia & Audrey,Julia,879.9993722,
2,,,23-May-2013,1,1,1_1,Dense 1,1A02,Acacia tortilis ,80,1,0.929,0,0,0,0,50,O,N/A,0,0,0,N/A,0,0,0,N,N/A,N/A,Y,,Karen and Vellie,Peter,0.677830816,
3,,,23-May-2013,1,1,1_1,Dense 1,2A25,Sclerocarya birrea,1200,1,50.9,0,0,0,0,23,O,N,1,1,1,N,0,0,0,N,N,U,Y,,Peter & Karen,Julia,2034.817416,
4,,,23-May-2013,1,1,1_1,Dense 1,2A25,Acacia nigrescens,900,2,12.2,13.8,0,0,0,5,O,N,0,0,0,N/A,0,0,0,N,N,U,Y,,Peter & Karen,Julia,715.1835676,
5,,,23-May-2013,1,1,1_1,Dense 1,5A25,Acacia nigrescens,670,1,19,0,0,0,0,2,O,N,0,0,0,N/A,0,0,0,N,N,U,Y,,Peter & Karen,Julia,283.528737,
6,,,23-May-2013,1,1,1_1,Dense 1,5A25,Acacia nigrescens,510,1,18.7,0,0,0,0,0,N/A,N/A,0,0,0,N/A,0,0,0,N,N,N,Y,,Peter & Karen,Julia,274.6458838,
7,,,23-May-2013,1,1,1_1,Dense 1,2B10,Acacia nigrescens,825,2,13.4,10.7,0,0,0,5,N,N,8,8,1,N,0,0,0,N,N,Y,Y,stripping unknow; breaking elephants,Dax & Jenna,Cori,500.7070371,
8,,,23-May-2013,1,1,1_1,Dense 1,2B10,Acacia nigrescens,750,1,16.6,0,0,0,0,1,O,N,0,0,0,N/A,0,0,0,N,N,U,Y,,Dax & Jenna,Cori,216.4243179,
9,,,23-May-2013,1,1,1_1,Dense 1,1A02,Acacia tortilis ,190,1,3.05,0,0,0,0,0,N/A,N/A,0,0,0,N/A,0,0,0,N,N/A,N/A,Y,,Karen and Vellie,Peter,7.306166415,
10,,,23-May-2013,1,1,1_1,Dense 1,1A02,Dalbergia melanoxylon,55,1,0.774,0,0,0,0,0,N/A,N/A,0,0,0,N/A,0,0,0,N,N/A,N/A,Y,,Karen and Vellie,Peter,0.47051319,
11,,,23-May-2013,1,1,1_1,Dense 1,1A02,Ehretia rigida,40,1,0.316,0,0,0,0,0,N/A,N/A,0,0,0,N/A,0,0,0,N,N/A,N/A,Y,,Karen and Vellie,Peter,0.078426719,
