date,index,location,location2,Grid,Plot,Way Point,GPS used,Tag #,Species,Ht (cm),Diameter stem 1,Diameter stem 2,Diameter stem 3,Diameter stem 4,Diameter stem 5,Diameter stem 6,Diameter stem 7,Diameter stem 8,# of stems,%,Age,Respr,% circum,Add circum,< 3m %,Age,% Regrow,Borers %,Fire (y/n),Toppled (y/n),Respr,Elephant (y/n),Alive (y/n),notes,Data entered by
5-Jun-16,1,Kruger National Park,Lower sabie,1,1,63,Yellow,,Phylonoptera violaceae,520,15.9,24.3,0,0,0,0,0,0,5,17,O,N,80,90,50,O,5,4,N,N,N,Y,Y,,Tembeka
5-Jun-16,2,Kruger National Park,Lower sabie,1,1,64,Yellow,,Phylonoptera violaceae,520,20.1,0,0,0,0,0,0,0,5,15,O,N,90,95,60,O,8,1,N,N,N,Y,Y,,Tembeka
5-Jun-16,3,Kruger National Park,Lower sabie,1,1,65,NI,,Acacia nigrescens,520,14.6,7.1,5,6.7,0,0,0,0,5,5,O,N,10,8,0,O,4,15,Y,N,N,Y,Y,,Tembeka
5-Jun-16,4,Kruger National Park,Lower sabie,1,1,66,Yellow,,Acacia nigrescens,530,24.6,0,0,0,0,0,0,0,5,35,O,N,65,80,20,O,4,2,Y,N,N,Y,Y,,Tembeka
5-Jun-16,5,Kruger National Park,Lower sabie,1,1,67,NI,,Acacia nigrescens,550,12.6,12.5,0,0,0,0,0,0,5,25,O,N,0,0,0,N/A,N/A,N/A,Y,N,N,N,Y,,Tembeka
5-Jun-16,6,Kruger National Park,Lower sabie,1,1,68,NI,,Phylonoptera violaceae,530,17.9,0,0,0,0,0,0,0,5,5,O,N,30,50,50,O,7,0,N,N,N,Y,Y,,Tembeka
5-Jun-16,7,Kruger National Park,Lower sabie,1,1,69,Yellow,,Phylonoptera violaceae,520,19.5,0,0,0,0,0,0,0,5,5,O,N,50,55,12,O,95,0,N,N,N,Y,Y,,Tembeka
5-Jun-16,8,Kruger National Park,Lower sabie,1,1,71,NI,,Acacia nigrescens,600,19.5,9.6,0,0,0,0,0,0,5,18,O,N,3,3,3,O,2,0,Y,N,N,Y,Y,,Tembeka
5-Jun-16,9,Kruger National Park,Lower sabie,1,1,72,NI,,Acacia nigrescens,540,31.3,0,0,0,0,0,0,0,5,50,O,N,8,15,15,O,9,50,Y,N,N,Y,Y,,Tembeka
5-Jun-16,10,Kruger National Park,Lower sabie,1,1,74,NI,,Acacia nigrescens,500,15.2,0,0,0,0,0,0,0,5,5,O,N,3,6,6,O,5,0,Y,N,N,Y,Y,,Tembeka
5-Jun-16,11,Kruger National Park,Lower sabie,1,1,None,NI,,Acacia nigrescens,510,11.3,6.4,0,0,0,0,0,0,5,20,O,N,5,11.5,11.5,O,83,3,Y,N,N,Y,Y,,Tembeka
5-Jun-16,12,Kruger National Park,Lower sabie,1,2,70,Yellow,,Acacia nigrescens,520,13.6,9,0,0,0,0,0,0,5,25,O,N,30,40,7,O,7,1,Y,N,N,Y,Y,,Tembeka
5-Jun-16,13,Kruger National Park,Lower sabie,1,2,73,Yellow,,Acacia nigrescens,600,15.7,12.8,9.3,0,0,0,0,0,5,70,N,N,35,56,5,O,30,1,Y,N,N,Y,Y,,Tembeka
5-Jun-16,14,Kruger National Park,Lower sabie,1,2,75,Yellow,,Acacia nigrescens,650,13.4,15.9,0,0,0,0,0,0,5,10,O,N,15,25,5,O,2,0,N,N,N,Y,Y,,Tembeka
5-Jun-16,15,Kruger National Park,Lower sabie,1,2,76,NI,,Acacia nigrescens,600,25.6,0,0,0,0,0,0,0,5,10,O,N,0,0,0,N/A,N/A,N/A,N,N,N,Y,Y,,Tembeka
5-Jun-16,16,Kruger National Park,Lower sabie,1,2,79,NI,,Acacia nigrescens,525,14.3,0,0,0,0,0,0,0,5,15,O,N,7,14,14,O,50,5,Y,N,N,Y,Y,,Tembeka
5-Jun-16,17,Kruger National Park,Lower sabie,1,2,80,NI,,Acacia nigrescens,650,20.3,0,0,0,0,0,0,0,5,2,O,N,80,80,80,O,2,20,Y,N,N,Y,Y,,Tembeka
5-Jun-16,18,Kruger National Park,Lower sabie,1,2,82,NI,,Acacia nigrescens,750,Dead,0,0,0,0,0,0,0,4,0,N/A,N/A,0,0,0,N/A,N/A,N/A,N,Y,N,Y,N,,Tembeka
