index,Location,Location 2,Date,Grid,Plot,Way Point,Species,Ht (cm),Diameter stem 1,Diameter stem 2,Diameter stem 3,Diameter stem 4,# of stems,Breaking %,Age,Respr,Stripping % circum,Add circum,< 3m %,Age,% Regrow,Borers %,Fire (Yes/No),Toppled (Yes/No),Respr,ElephaNot (Yes/No),Alive (Yes/No),notes,GPS used,data entered by
48,Kruger Park,Lower Sabie,4-Jun-17,1,1,G1P1T1,Combretum imberbe,5,12,NA,NA,NA,1,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,Yes,Yes,,LK grey,Ali
49,Kruger Park,Lower Sabie,4-Jun-17,1,1,G1P1T2,Acacia nigrescens,5,13,NA,NA,NA,1,100,Old,Yes,0,NA,NA,NA,NA,NA,NA,NA,NA,Yes,Yes,,LK grey,Ali
50,Kruger Park,Lower Sabie,4-Jun-17,1,1,G1P1T3,Acacia nigrescens,5.4,10.5,11.5,NA,NA,2,2,Old,Yes,0,NA,NA,NA,NA,NA,NA,NA,NA,Yes,Yes,,LK grey,Ali
46,Kruger Park,Lower Sabie,4-Jun-17,1,1,G1P1T4,Acacia nigrescens,5.1,11.5,4.5,5,4,4,100,Old,Yes,0,NA,NA,NA,NA,NA,NA,NA,NA,Yes,Yes,,LK grey,Ali
47,Kruger Park,Lower Sabie,4-Jun-17,1,1,G1P1T5,Acacia nigrescens,5,10,9,NA,NA,2,100,New,Yes,0,NA,NA,NA,NA,NA,NA,NA,NA,Yes,Yes,,LK grey,Ali
51,Kruger Park,Lower Sabie,4-Jun-17,1,2,G1P2T1,Acacia nigrescens,5.2,21,NA,NA,NA,1,100,Old,No,0,NA,NA,NA,NA,NA,NA,NA,NA,Yes,No,,LK grey,Ali
60,Kruger Park,Lower Sabie,4-Jun-17,1,2,G1P2T10,Acacia nigrescens,6,22,20,NA,NA,2,95,Old,Yes,0,NA,NA,NA,NA,NA,NA,NA,NA,Yes,No,,LK grey,Ali
61,Kruger Park,Lower Sabie,4-Jun-17,1,2,G1P2T11,Acacia nigrescens,6,23,NA,NA,NA,1,100,Old,No,0,NA,NA,NA,NA,NA,NA,NA,NA,Yes,No,,LK grey,Ali
62,Kruger Park,Lower Sabie,4-Jun-17,1,2,G1P2T12,Acacia nigrescens,5.5,23,8,NA,NA,2,85,Old,Yes,0,NA,NA,NA,NA,NA,NA,NA,NA,Yes,Yes,,LK grey,Ali
63,Kruger Park,Lower Sabie,4-Jun-17,1,2,G1P2T13,Acacia nigrescens,6,21,NA,NA,NA,1,100,NA,No,0,NA,NA,NA,NA,NA,NA,NA,NA,Yes,No,,LK grey,Ali
64,Kruger Park,Lower Sabie,4-Jun-17,1,2,G1P2T14,Acacia nigrescens,6,21,NA,NA,NA,1,100,Old,No,0,NA,NA,NA,NA,NA,NA,NA,NA,Yes,No,,LK grey,Ali
65,Kruger Park,Lower Sabie,4-Jun-17,1,2,G1P2T15,Acacia nigrescens,5,12,13,NA,NA,2,100,Old,Yes,0,NA,NA,NA,NA,NA,NA,NA,NA,Yes,Yes,,LK grey,Ali
52,Kruger Park,Lower Sabie,4-Jun-17,1,2,G1P2T2,Acacia nigrescens,5.5,20,18,NA,NA,2,100,Old,Yes,0,NA,NA,NA,NA,NA,NA,NA,NA,Yes,Yes,,LK grey,Ali
53,Kruger Park,Lower Sabie,4-Jun-17,1,2,G1P2T3,Acacia nigrescens,5.3,12,NA,NA,NA,1,5,Old,Yes,0,NA,NA,NA,NA,NA,NA,NA,NA,Yes,Yes,,LK grey,Ali
54,Kruger Park,Lower Sabie,4-Jun-17,1,2,G1P2T4,Acacia nigrescens,5.4,13,11,NA,NA,2,100,Old,No,0,NA,NA,NA,NA,NA,NA,NA,NA,Yes,No,,LK grey,Ali
55,Kruger Park,Lower Sabie,4-Jun-17,1,2,G1P2T5,Acacia nigrescens,6,21,20,17,NA,3,4,Old,Yes,0,NA,NA,NA,NA,NA,NA,NA,NA,Yes,Yes,,LK grey,Ali
56,Kruger Park,Lower Sabie,4-Jun-17,1,2,G1P2T6,Acacia nigrescens,5.2,22,NA,NA,NA,1,100,New,Yes,10,NA,1,Old,90,100,No,No,No,Yes,Yes,,LK grey,Ali
