index,date,formatted date,grid,plot,Tree tag,gps tag,gps used,side,zone,fixed area,Species,fixed ht cm,Diameter 1,Diameter 2,Diameter 3,Diameter 4,Diameter 5,# Stems,Breaking,Age,Resprout,strip Circumference,Additive circumferance,area <3m stripped,Age strip,Bark Regrowth,Borers,Fire,Toppled,Resprout,Ele?,Alive,data entered bY
109,5/27/2018,27-May-18,1,1,OTS 0120,NA,NA,A,1,0 to 2,Ehrethia rigidia,31.5,0.33,0.33,0.33,,,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,Melanie
110,5/27/2018,27-May-18,1,1,OTS 0119,NA,NA,A,1,0 to 2,Ehrethia rigidia,76,0.63,,,,,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,Melanie
108,5/27/2018,27-May-18,1,1,OTS 0141,NA,NA,A,1,0 to 2,Dichrostachys cinerea,90,0.88,,,,,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,Melanie
113,5/27/2018,27-May-18,1,1,OTS 0117,NA,NA,A,2,0 to 2,Flueggea virosa,102,0.10,0.55,0.55,0.70,0.51,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,Melanie
111,5/27/2018,27-May-18,1,1,OTS 0118,NA,NA,A,2,0 to 2,Ehrethia rigidia,54,0.26,0.52,,,,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,Melanie
114,5/27/2018,27-May-18,1,1,OTS 0115,NA,NA,A,2,0 to 2,Ehrethia rigidia,71.7,0.33,,,,,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,Melanie
112,5/27/2018,27-May-18,1,1,OTS 0116,NA,NA,A,2,0 to 2,Ehrethia rigidia,45,0.38,0.67,0.57,,,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,Melanie
119,5/27/2018,27-May-18,1,1,OTS 0113,NA,NA,A,3,0 to 2,Boscia foetida,25,0.22,0.31,,,,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,Melanie
120,5/27/2018,27-May-18,1,1,OTS 0112,NA,NA,A,3,0 to 2,Boscia foetida,42,0.23,,,,,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,Melanie
123,5/27/2018,27-May-18,1,1,394,NA,NA,A,3,0 to 2,Ehrethia rigidia,27,0.25,,,,,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,Melanie
122,5/27/2018,27-May-18,1,1,392,NA,NA,A,3,0 to 2,Boscia foetida,44,0.39,,,,,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,Melanie
117,5/27/2018,27-May-18,1,1,OTS 0110,NA,NA,A,3,0 to 2,Boscia foetida,24,0.40,,,,,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,Melanie
125,5/27/2018,27-May-18,1,1,393,NA,NA,A,3,0 to 2,Ehrethia rigidia,70,0.45,,,,,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,Melanie
116,5/27/2018,27-May-18,1,1,OTS 0109,NA,NA,A,3,0 to 2,Boscia foetida,40,0.48,0.29,,,,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,Melanie
